flexion_mean,valgus_mean,internal_mean,medial_mean,posterior_mean,superior_mean,flexion_std,valgus_std,internal_std,medial_std,posterior_std,superior_std
-64.931049402559,7.12191239167967,-3.18819841404028,-5.01869874257677,0.578793714517554,-4.38896240996737,0,0,0,0,0,0
-65.9374769083011,7.23633600267769,-3.07028846639635,-5.03030228109816,0.501936628397107,-4.39573706118898,0,0,0,0,0,0
-66.9475614997572,7.34017544605417,-2.94218285305706,-5.03640946116287,0.431689877306624,-4.43388566837152,0,0,0,0,0,0
-67.9590531144968,7.45186250756044,-2.82102890563531,-5.03015125727994,0.352073796254318,-4.4273599751022,0,0,0,0,0,0
-68.9761661039918,7.54258108130699,-2.67849339433265,-5.02801236558753,0.269711278602015,-4.42506143568026,0,0,0,0,0,0
-69.995577345105,7.61244323015078,-2.52663999841347,-4.99773955430605,0.191519657483859,-4.41826275756786,0,0,0,0,0,0
-71.023168845605,7.67871360329706,-2.37335892447015,-4.97795933813424,0.109020028821181,-4.3990100814631,0,0,0,0,0,0
-72.0535094118634,7.7215594403972,-2.20064674452115,-4.95582695580812,0.0353570365469569,-4.41424852031918,0,0,0,0,0,0
-73.0867102327873,7.77318081242223,-2.03503674069347,-4.93778320736476,-0.0388596566775199,-4.42764032254207,0,0,0,0,0,0
-74.1255410154426,7.8240038815788,-1.87124188148915,-4.9027617144606,-0.117466375674576,-4.4132503269318,0,0,0,0,0,0
-75.1675825840722,7.86148818627786,-1.70162393897452,-4.86877788145478,-0.18934092960072,-4.41884138802018,0,0,0,0,0,0
-76.2118020725966,7.89282377107848,-1.53555773987974,-4.81395827541599,-0.264001648886387,-4.39347463638815,0,0,0,0,0,0
-77.262878876769,7.92220693289935,-1.361116146,-4.76064319257267,-0.340077106335794,-4.35352954706384,0,0,0,0,0,0
-78.3166418746928,7.93724462126252,-1.18037340964089,-4.71426062818576,-0.413662414717168,-4.36033618611288,0,0,0,0,0,0
-79.3747377804462,7.95375317436664,-1.00599865203953,-4.66316151643378,-0.48181038696675,-4.33061492654814,0,0,0,0,0,0
-80.4371397430358,7.95234452506895,-0.827291167035456,-4.59932806010972,-0.550018649663686,-4.2855897307014,0,0,0,0,0,0
-81.5026816165586,7.93482790729241,-0.643537197281628,-4.53756213911913,-0.619234990076622,-4.28412424461337,0,0,0,0,0,0
-82.5739735057296,7.92583698393694,-0.463893936660776,-4.48505883117123,-0.684670469723375,-4.22123260680934,0,0,0,0,0,0
-83.6457262515241,7.88714136527587,-0.278597427003283,-4.44664356147516,-0.756490763452488,-4.21865291020627,0,0,0,0,0,0
-84.7206814204428,7.85217664878525,-0.102393378421702,-4.37715382383486,-0.82009061465264,-4.20377169874739,0,0,0,0,0,0
-85.7984343303032,7.82574999550208,0.0665830326825203,-4.31834554791228,-0.88179705955875,-4.15898975408222,0,0,0,0,0,0
-86.8791047197919,7.77500366262122,0.238991735773793,-4.26558205451739,-0.945379501013658,-4.14233917430086,0,0,0,0,0,0
-87.8453767204538,7.72956707521816,0.384510108204697,-4.21939976838645,-1.00222353570694,-4.11488049772494,0,0,0,0,0,0
